invoice_id,vendor_id,invoice_number,invoice_date,invoice_total,payment_total,credit_total,terms_id,invoice_due_date,payment_date
40,121,97/503,5/30/2018,639.77,639.77,0,3,6/29/2018,6/25/2018
41,123,963253255,5/31/2018,53.75,53.75,0,3,6/30/2018,6/27/2018
42,123,94007069,5/31/2018,400,400,0,3,6/30/2018,7/1/2018
43,72,40318,6/1/2018,21842,21842,0,3,7/1/2018,6/29/2018
44,95,111-92R-10094,6/1/2018,19.67,19.67,0,2,6/21/2018,6/24/2018
45,122,989319-437,6/1/2018,2765.36,2765.36,0,3,7/1/2018,6/28/2018
46,37,547481328,6/3/2018,224,224,0,3,7/3/2018,7/4/2018
47,83,31359783,6/3/2018,1575,1575,0,2,6/23/2018,6/21/2018
48,123,1-202-2978,6/3/2018,33,33,0,3,7/3/2018,7/5/2018
49,95,111-92R-10097,6/4/2018,16.33,16.33,0,2,6/24/2018,6/26/2018
50,37,547479217,6/7/2018,116,116,0,3,7/7/2018,7/7/2018
51,122,989319-477,6/8/2018,2184.11,2184.11,0,3,7/8/2018,7/8/2018
52,34,Q545443,6/9/2018,1083.58,1083.58,0,1,6/19/2018,6/23/2018
53,95,111-92R-10092,6/9/2018,46.21,46.21,0,2,6/29/2018,7/2/2018
54,121,97/553B,6/10/2018,313.55,313.55,0,3,7/10/2018,7/9/2018
55,123,963253245,6/10/2018,40.75,40.75,0,3,7/10/2018,7/12/2018
56,86,367447,6/11/2018,2433,2433,0,1,6/21/2018,6/17/2018
57,103,75C-90227,6/11/2018,1367.5,1367.5,0,5,7/31/2018,7/31/2018
58,123,963253256,6/11/2018,53.25,53.25,0,3,7/11/2018,7/7/2018
59,123,4-314-3057,6/11/2018,13.75,13.75,0,3,7/11/2018,7/15/2018
60,122,989319-497,6/12/2018,2312.2,2312.2,0,3,7/12/2018,7/9/2018
61,115,24946731,6/15/2018,25.67,25.67,0,4,7/25/2018,7/26/2018
62,123,963253269,6/15/2018,26.75,26.75,0,3,7/15/2018,7/11/2018
63,122,989319-427,6/16/2018,2115.81,2115.81,0,3,7/16/2018,7/19/2018
64,123,963253267,6/17/2018,23.5,23.5,0,3,7/17/2018,7/19/2018
65,99,509786,6/18/2018,6940.25,6940.25,0,3,7/18/2018,7/15/2018
66,123,263253253,6/18/2018,31.95,31.95,0,3,7/18/2018,7/21/2018
67,122,989319-487,6/20/2018,1927.54,1927.54,0,3,7/20/2018,7/18/2018
68,81,MABO1489,6/21/2018,936.93,936.93,0,2,7/11/2018,7/10/2018
69,80,133560,6/22/2018,175,175,0,2,7/12/2018,7/16/2018
70,115,24780512,6/22/2018,6,6,0,4,8/1/2018,7/29/2018
71,123,963253254,6/22/2018,108.5,108.5,0,3,7/22/2018,7/20/2018
72,123,43966316,6/22/2018,10,10,0,3,7/22/2018,7/17/2018
73,114,CBM9920-M-T77109,6/23/2018,290,290,0,1,7/3/2018,6/29/2018
74,102,109596,6/24/2018,41.8,41.8,0,4,8/3/2018,8/4/2018
75,123,7548906-20,6/24/2018,27,27,0,3,7/24/2018,7/24/2018
76,123,963253248,6/24/2018,241,241,0,3,7/24/2018,7/25/2018
77,121,97/553,6/25/2018,904.14,904.14,0,3,7/25/2018,7/25/2018
78,121,97/522,6/28/2018,1962.13,1762.13,200,3,7/28/2018,7/30/2018
79,100,587056,6/30/2018,2184.5,2184.5,0,4,8/9/2018,8/7/2018
80,122,989319-467,7/1/2018,2318.03,2318.03,0,3,7/31/2018,7/29/2018
81,123,263253265,7/2/2018,26.25,26.25,0,3,8/1/2018,7/28/2018
82,94,203339-13,7/5/2018,17.5,17.5,0,2,7/25/2018,7/27/2018
83,95,111-92R-10093,7/6/2018,39.77,39.77,0,2,7/26/2018,7/22/2018
84,123,963253258,7/6/2018,111,111,0,3,8/5/2018,8/5/2018
85,123,963253271,7/7/2018,158,158,0,3,8/6/2018,8/11/2018
86,123,963253230,7/7/2018,739.2,739.2,0,3,8/6/2018,8/6/2018
87,123,963253244,7/8/2018,60,60,0,3,8/7/2018,8/9/2018
88,123,963253239,7/8/2018,147.25,147.25,0,3,8/7/2018,8/11/2018
89,72,39104,7/10/2018,85.31,0,0,3,8/9/2018,NULL
90,123,963253252,7/12/2018,38.75,38.75,0,3,8/11/2018,8/11/2018
91,95,111-92R-10095,7/15/2018,32.7,32.7,0,2,8/4/2018,8/6/2018
92,117,111897,7/15/2018,16.62,16.62,0,3,8/14/2018,8/14/2018
93,123,4-327-7357,7/16/2018,162.75,162.75,0,3,8/15/2018,8/11/2018
94,123,963253264,7/18/2018,52.25,0,0,3,8/17/2018,NULL
95,82,C73-24,7/19/2018,600,600,0,2,8/8/2018,8/13/2018
96,110,P-0259,7/19/2018,26881.4,26881.4,0,3,8/18/2018,8/20/2018
97,90,97-1024A,7/20/2018,356.48,356.48,0,2,8/9/2018,8/7/2018
98,83,31361833,7/21/2018,579.42,0,0,2,8/10/2018,NULL
99,123,263253268,7/21/2018,59.97,0,0,3,8/20/2018,NULL
100,123,263253270,7/22/2018,67.92,0,0,3,8/21/2018,NULL
101,123,263253273,7/22/2018,30.75,0,0,3,8/21/2018,NULL
102,110,P-0608,7/23/2018,20551.18,0,1200,3,8/22/2018,NULL
103,122,989319-417,7/23/2018,2051.59,2051.59,0,3,8/22/2018,8/24/2018
104,123,263253243,7/23/2018,44.44,44.44,0,3,8/22/2018,8/24/2018
105,106,9982771,7/24/2018,503.2,0,0,3,8/23/2018,NULL
106,110,0-2060,7/24/2018,23517.58,21221.63,2295.95,3,8/23/2018,8/27/2018
107,122,989319-447,7/24/2018,3689.99,3689.99,0,3,8/23/2018,8/19/2018
108,123,963253240,7/24/2018,67,67,0,3,8/23/2018,8/23/2018
109,121,97/222,7/25/2018,1000.46,1000.46,0,3,8/24/2018,8/22/2018
110,80,134116,7/28/2018,90.36,0,0,2,8/17/2018,NULL
111,123,263253257,7/30/2018,22.57,22.57,0,3,8/29/2018,9/3/2018
112,110,0-2436,7/31/2018,10976.06,0,0,3,8/30/2018,NULL
113,37,547480102,8/1/2018,224,0,0,3,8/31/2018,NULL
114,123,963253249,8/2/2018,127.75,127.75,0,3,9/1/2018,9/4/2018
115,32,AX-0140-027,8/1/2018,434.58,0,0,2,8/31/2018,NULL
